id,label,field,section,route,inNewForm,inEditForm,saved,loaded,hubDisplay,persistPath,roundTrip
1,"מספר רכב",vehicle_plate,"1. פרטי רכב",,true,true,true,true,true,"direct:license_plate",true
2,"מספר פנימי",internal_number,"1. פרטי רכב",,true,true,true,true,true,"direct:internal_number",true
3,"מספר שלדה VIN",vin,"1. פרטי רכב",,true,true,true,true,true,"direct:vin",true
4,"מספר מנוע",engine_number,"1. פרטי רכב",,true,true,true,true,true,"direct:engine_number",true
5,"יצרן",manufacturer,"1. פרטי רכב",,true,true,true,true,true,"direct:manufacturer",true
6,"דגם",model,"1. פרטי רכב",,true,true,true,true,true,"direct:model",true
7,"שנתון",year,"1. פרטי רכב",,true,true,true,true,true,"direct:year",true
8,"כינוי רכב",vehicle_nickname,"1. פרטי רכב",,true,true,true,true,true,"direct:nickname",true
9,"סוג רכב",vehicle_type,"1. פרטי רכב",,true,true,true,true,true,"direct:vehicle_type",true
10,"סגמנט רכב",vehicle_segment,"1. פרטי רכב",,true,true,true,true,true,"direct:segment",true
11,"צבע רכב",vehicle_color,"1. פרטי רכב",,true,true,true,true,true,"direct:vehicle_color",true
12,"סוג דלק",fuel_type,"1. פרטי רכב",,true,true,true,true,true,"direct:fuel_type",true
13,"משקל",weight,"1. פרטי רכב",,true,true,true,true,true,"direct:weight_tons",true
14,"סוג בעלות",ownership_type_text,"1. פרטי רכב",,true,true,true,true,true,"direct:ownership_type",true
15,"חברה",company,"1. פרטי רכב",,true,true,true,true,true,"direct:company_name",true
16,"שיוך מיקום",location_assignment,"1. פרטי רכב",,true,true,true,true,true,"direct:work_site",true
17,"נהג משויך",assigned_driver,"1. פרטי רכב",,true,true,true,true,true,"assigned_driver_id + import_buffer",true
18,"ממונה רכב",vehicle_supervisor,"1. פרטי רכב",,true,true,true,true,true,"direct:vehicle_manager",true
19,"מיקום נוכחי",current_location,"1. פרטי רכב",,true,true,true,true,true,"direct:current_location",true
20,"אתר עבודה",work_site,"1. פרטי רכב",,true,true,true,true,true,"direct:work_site",true
21,"סוג שימוש",usage_type,"1. פרטי רכב",,true,true,true,true,true,"direct:usage_type",true
22,"מחלקה",department,"1. פרטי רכב",,true,true,true,true,true,"direct:department",true
23,"הוסף מחלקה חדשה",__departments_ui__,"1. פרטי רכב",,true,true,true,true,true,"ui-only",true
24,"אזור עבודה",work_area,"1. פרטי רכב",,true,true,true,true,true,"direct:department",true
25,"סטטוס",vehicle_status,"1. פרטי רכב",,true,true,true,true,true,"direct:status",true
26,"תאריך רכישה",purchase_date,"1. פרטי רכב",,true,true,true,true,true,"direct:sale_date",true
27,"תאריך עליה לכביש",road_date,"1. פרטי רכב",,true,true,true,true,true,"direct:road_entry_date",true
28,"תאריך בדיקה",inspection_date,"1. פרטי רכב",,true,true,true,true,true,"direct:last_inspection_date",true
29,"תאריך סיום / גריעה",end_or_scrap_date,"1. פרטי רכב",,true,true,true,true,true,"direct:end_or_scrap_date",true
30,"בחר מסלול",ownership_route,"2. בעלות",,true,true,true,true,true,"direct:finance_track",true
31,"חברת ליסינג / השכרה",op_company,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
32,"מספר הסכם",op_agreement,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
33,"עלות חודשית",op_monthly_cost,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"direct:monthly_leasing_cost",true
34,"קילומטר כלול",op_included_km,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
35,"עלות חריגה",op_extra_cost,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
36,"אחריות תחזוקה",op_maintenance_responsibility,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
37,"תאריך תחילה",op_start,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
38,"תאריך סיום",op_end,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"direct:leasing_end_date",true
39,"יתרת תשלומים",op_remaining_payments,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
40,"איש קשר",op_contact,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
41,"טלפון",op_phone,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
42,"מייל",op_email,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
43,"קישור להסכם",op_agreement_link,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
44,"העלאת קובץ הסכם",op_agreement_file_name,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
45,"הערות",op_notes,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
46,"למי משועבד",op_pledged_to,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
47,"מספר שעבוד",op_pledge_number,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
48,"תאריך התחלת שעבוד",op_pledge_start,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
49,"תאריך סיום שעבוד",op_pledge_end,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
50,"קישור למסמך שעבוד",op_pledge_link,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
51,"העלאת מסמך שעבוד",op_pledge_file_name,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
52,"הערות שעבוד",op_pledge_notes,"2. בעלות","ליסינג תפעולי",true,true,true,true,true,"json:finance_details or import_buffer",true
53,"חברת ליסינג / השכרה",fl_company,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
54,"מספר הסכם",fl_agreement,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
55,"עלות חודשית",fl_monthly_cost,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"direct:monthly_loan_payment",true
56,"תאריך תחילה",fl_start,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
57,"תאריך סיום",fl_end,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"direct:loan_end_date",true
58,"יתרת תשלומים",fl_remaining_payments,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
59,"איש קשר",fl_contact,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
60,"טלפון",fl_phone,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
61,"מייל",fl_email,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
62,"קישור להסכם",fl_agreement_link,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
63,"העלאת קובץ הסכם",fl_agreement_file_name,"2. בעלות","ליסינג מימוני",true,true,true,true,true,"json:finance_details or import_buffer",true
