--- טסטים ---
מס' פנימי,מספר רכב,חברה / לקוח,נהג,סוג האירוע,תאריך,סטטוס

--- טיפולים ---
מס' פנימי,מספר רכב,חברה / לקוח,נהג,סוג האירוע,תאריך,סטטוס

--- תאונות ---
מס' פנימי,מספר רכב,חברה / לקוח,נהג,סוג האירוע,תאריך,סטטוס

--- ביקורות קצין רכב ---
מספר רכב,מס' פנימי,סוג הביקורת,תאריך הביקורת,מועד הביקורת הבאה
T1164782,19,רבעונית,15.1.2025,-
T1164782,19,תלת/חצי שנתית,13.8.2026,13.11.2026
T1164782,19,תלת/חצי שנתית,13.8.2026,13.11.2026

--- ביטוחים לחידוש ---
מס' פנימי,מספר רכב,חברה / לקוח,נהג,סוג האירוע,תאריך,סטטוס

--- סיכום רכבים ---
מס' פנימי,מספר רכב,חברה / לקוח,נהג,סוג האירוע,תאריך,סטטוס
019,T1164782A,QA-T11-A-1786642064782,-,רכב,-,פעיל
119,T1164782B,QA-T11-A-1786642064782,-,רכב,-,פעיל
190,T1164782C,QA-T11-A-1786642064782,-,רכב,-,פעיל
19,T1164782,QA-T11-A-1786642064782,-,רכב,-,פעיל
21,T1164782נג,QA-T11-A-1786642064782,-,רכב,-,פעיל
22,T1164782טר,QA-T11-A-1786642064782,-,רכב,-,פעיל
23,T1164782צי,QA-T11-A-1786642064782,-,רכב,-,פעיל
24,T1164782רכ,QA-T11-A-1786642064782,-,רכב,-,פעיל

--- סיכום נהגים ---
מס' פנימי,מספר רכב,חברה / לקוח,נהג,סוג האירוע,תאריך,סטטוס
-,-,QA-T11-A-1786642064782,נהג QA T11 1786642064782,נהג,-,פעיל
