שם החברה,עיר/אזור,טלפון,מייל (כללי/שירות),כמות רכבים מוערכת
אלקטרה בנייה,נתניה/מרכז,08-943-3333,info@electra.co.il,300+
אשטרום הנדסה,תל אביב,03-623-1411,info@ashtrom.co.il,210+
דניה סיבוס,אור יהודה,03-538-3111,info@denya.co.il,260+
סולל בונה,מרכז,03-630-3333,info@shikun.co.il,310+
שיכון ובינוי,קרית שדה תעופה,03-630-3333,info@shikunbinui.com,300+
אפקון החזקות,פתח תקווה,03-925-1333,info@afcon.co.il,130+
לסיכו (Lesico),חולון,03-557-0000,info@lesico.co.il,120+
מנוליד חרות,פתח תקווה,03-921-2222,office@manolid.co.il,95+
אוליצקי תשתיות,חולון,03-550-8000,info@olizki.co.il,140+
חירם זאבי,פתח תקווה,03-921-1222,hiram@hiram.co.il,40+
קבוצת אורון,נתניה,*5660,office@oron-group.co.il,100+
אפקון בקרה,פתח תקווה,03-925-1333,info@afcon.co.il,120+
צוות 3 אבטחה,רחובות,073-801-1690,info@t3group.co.il,190+
G1 פתרונות אבטחה,פתח תקווה,03-920-6666,info@g1-group.com,160+
מוקד אמון,נתניה,*9103,info@amon.co.il,100+
מוקד השומרים,חולון,03-557-5222,info@hashomrim.co.il,90+
שלג לבן,נתניה,09-835-0111,office@sheleg.co.il,85+
עמישב אבטחה,תל אביב,03-605-2222,info@amishav.co.il,110+
T&M אבטחה,פתח תקווה,03-921-2244,info@tmisrael.co.il,180+
HFD שליחויות,פתח תקווה,03-924-4441,info@hfd.co.il,130+
צ'יטה שליחויות,נתניה,073-217-1717,info@chita.co.il,160+
אביב שיגור,חולון,03-655-2222,info@aviv.co.il,110+
תפוז שליחויות,פתח תקווה,03-532-9648,info@tapuz.co.il,80+
אוריאן לוגיסטיקה,חולון,03-918-9100,info@orian.com,180+
פליינג קרגו,צריפין,03-975-2222,info@fci.co.il,250+
תנובה (הפצה),חולון/רחובות,*6666,info@tnuva.co.il,550+
שטראוס (הפצה),פתח תקווה,*6860,info@strauss.co.il,410+
קוקה קולה,בני ברק,*5050,info@cbc.co.il,460+
טמפו,נתניה,09-863-0600,info@tempo.co.il,160+
יפאורה תבורי,רחובות,08-933-3333,info@jafora.co.il,145+
סנו (צי רכב),הוד השרון,09-747-3222,info@sano.co.il,120+
יוניליוור,קרית שדה תעופה,1-800-780-780,info@unilever.co.il,150+
סופר-פארם (צי),נתניה/מרכז,09-972-5000,info@super-pharm.co.il,130+
אלדן שינוע,ניר צבי,*3003,info@eldan.co.il,140+
שלמה סיקסט,קרית שדה תעופה,*4944,info@shlomo.co.il,200+
אוויס (Avis),לוד,*2722,info@avis.co.il,110+
הרץ (Hertz),פתח תקווה,*2000,info@hertz.co.il,110+
קל אוטו,נתניה,*6020,info@calauto.co.il,90+
מקורות (מרכז),חולון,03-623-7111,info@mekorot.co.il,320+
